Time,Abs
0,0.895
2,0.883
3,0.871
4,0.860
6,0.850
7,0.838
9,0.826
10,0.819
11,0.805
13,0.794
14,0.781
16,0.771
17,0.760
18,0.751
20,0.738
21,0.728
23,0.718
24,0.709
25,0.697
27,0.691
28,0.681
30,0.671
31,0.662
32,0.654
34,0.645
35,0.637
37,0.628
38,0.620
40,0.611
41,0.603
42,0.592
44,0.585
45,0.577
47,0.568
48,0.559
49,0.552
51,0.545
52,0.537
54,0.530
55,0.521
56,0.512
58,0.505
59,0.498
61,0.489
62,0.482
64,0.474
65,0.468
66,0.460
68,0.455
69,0.447
71,0.440
72,0.434
73,0.427
75,0.421
76,0.414
78,0.408
79,0.402
81,0.396
82,0.391
83,0.384
85,0.378
86,0.372
88,0.368
89,0.363
91,0.356
92,0.353
94,0.347
95,0.341
96,0.337
98,0.333
99,0.327
101,0.323
102,0.318
104,0.312
105,0.308
107,0.304
108,0.298
109,0.295
111,0.290
112,0.288
114,0.283
115,0.278
117,0.272
118,0.269
120,0.265
121,0.260
122,0.258
124,0.254
125,0.248
127,0.245
128,0.242
130,0.240
131,0.232
133,0.230
134,0.227
136,0.225
137,0.219
138,0.217
140,0.215
141,0.210
143,0.207
144,0.205
146,0.201
147,0.198
149,0.193
150,0.190
152,0.188
153,0.185
155,0.182
156,0.179
158,0.177
159,0.174
161,0.172
162,0.169
164,0.167
165,0.163
167,0.161
168,0.158
170,0.158
171,0.153
173,0.152
174,0.150
176,0.147
177,0.143
179,0.141
180,0.139
181,0.138
183,0.137
184,0.135
186,0.132
187,0.131
189,0.129
190,0.127
192,0.126
193,0.123
195,0.120
196,0.121
198,0.117
199,0.114
201,0.113
