Time,Abs
0,0.534
1,0.530
2,0.527
3,0.520
3,0.517
4,0.512
5,0.508
7,0.504
8,0.502
8,0.498
10,0.494
11,0.490
12,0.488
13,0.484
14,0.481
15,0.479
16,0.474
17,0.471
18,0.466
19,0.464
20,0.460
21,0.457
22,0.451
23,0.448
24,0.447
25,0.443
26,0.439
27,0.439
28,0.432
29,0.429
30,0.428
31,0.425
32,0.423
33,0.420
34,0.413
35,0.409
36,0.407
37,0.405
38,0.406
39,0.398
40,0.397
41,0.394
42,0.391
43,0.388
44,0.386
45,0.384
46,0.381
47,0.379
48,0.377
49,0.373
50,0.369
51,0.369
52,0.366
53,0.362
54,0.360
55,0.357
56,0.356
57,0.350
58,0.349
59,0.344
60,0.344
61,0.340
62,0.341
63,0.337
64,0.334
65,0.333
66,0.331
67,0.329
68,0.324
69,0.322
70,0.320
71,0.318
72,0.315
73,0.315
74,0.311
75,0.308
76,0.304
77,0.304
78,0.300
79,0.299
80,0.297
81,0.294
82,0.294
83,0.291
84,0.289
85,0.287
86,0.284
87,0.284
88,0.280
89,0.278
90,0.276
91,0.273
92,0.273
93,0.269
94,0.268
95,0.267
96,0.264
97,0.263
98,0.261
99,0.260
100,0.258
101,0.255
102,0.254
103,0.256
104,0.252
105,0.250
106,0.248
107,0.245
108,0.245
109,0.242
110,0.240
111,0.242
112,0.236
113,0.234
114,0.234
115,0.231
116,0.229
117,0.227
118,0.226
119,0.224
120,0.224
121,0.222
122,0.219
123,0.217
124,0.216
125,0.215
126,0.215
127,0.213
128,0.211
129,0.210
130,0.207
131,0.206
132,0.205
133,0.205
134,0.201
135,0.200
136,0.201
137,0.200
138,0.197
139,0.196
140,0.196
142,0.195
143,0.193
144,0.192
145,0.192
146,0.188
147,0.186
148,0.186
149,0.186
150,0.182
151,0.181
152,0.181
153,0.180
154,0.176
155,0.174
156,0.172
157,0.173
158,0.172
159,0.171
160,0.169
161,0.169
162,0.167
163,0.168
164,0.166
165,0.165
166,0.164
167,0.162
168,0.160
169,0.160
170,0.158
171,0.157
172,0.157
173,0.158
174,0.153
175,0.153
176,0.154
177,0.152
178,0.151
179,0.149
180,0.148
181,0.149
182,0.146
183,0.145
184,0.146
185,0.144
186,0.142
187,0.142
188,0.142
189,0.139
190,0.139
191,0.137
192,0.138
193,0.136
194,0.136
195,0.135
196,0.132
197,0.132
198,0.132
199,0.131
200,0.129
201,0.128
