Time,Abs
0,0.529
1,0.525
2,0.522
3,0.519
4,0.515
5,0.511
6,0.509
7,0.506
8,0.504
9,0.500
10,0.496
11,0.493
12,0.489
13,0.487
14,0.484
15,0.483
16,0.478
17,0.475
18,0.473
19,0.471
20,0.466
21,0.465
22,0.464
23,0.461
24,0.458
25,0.455
26,0.453
27,0.451
28,0.449
29,0.445
30,0.443
31,0.439
32,0.438
33,0.436
34,0.433
35,0.430
36,0.427
37,0.424
38,0.423
39,0.421
40,0.418
41,0.416
42,0.415
43,0.411
44,0.409
45,0.407
46,0.405
47,0.402
48,0.399
49,0.399
50,0.395
51,0.394
52,0.392
53,0.391
54,0.388
55,0.388
56,0.385
57,0.381
58,0.381
59,0.378
60,0.376
61,0.374
63,0.372
63,0.370
64,0.368
66,0.366
67,0.363
68,0.362
69,0.359
70,0.359
71,0.359
72,0.355
73,0.352
74,0.352
75,0.348
76,0.347
77,0.346
78,0.344
79,0.343
80,0.341
81,0.337
82,0.337
83,0.335
84,0.334
85,0.330
86,0.329
87,0.327
88,0.326
89,0.325
90,0.322
91,0.322
92,0.320
93,0.318
94,0.316
95,0.312
96,0.312
97,0.311
98,0.310
99,0.308
100,0.306
101,0.304
102,0.305
103,0.303
104,0.300
105,0.298
106,0.296
107,0.296
108,0.295
109,0.294
110,0.292
111,0.289
112,0.289
113,0.288
114,0.285
115,0.285
116,0.285
117,0.281
118,0.280
119,0.280
120,0.277
121,0.277
122,0.276
123,0.274
124,0.271
125,0.270
126,0.269
127,0.269
128,0.267
129,0.267
130,0.264
131,0.264
132,0.260
133,0.262
134,0.259
135,0.258
136,0.259
137,0.256
138,0.254
139,0.255
140,0.252
141,0.250
142,0.251
143,0.249
144,0.249
145,0.247
146,0.247
147,0.245
148,0.243
149,0.241
150,0.240
151,0.240
152,0.239
153,0.237
154,0.238
155,0.235
156,0.234
157,0.235
158,0.232
159,0.233
160,0.231
161,0.230
162,0.228
163,0.227
164,0.226
165,0.224
166,0.226
167,0.224
168,0.222
169,0.223
170,0.221
171,0.220
172,0.219
173,0.218
174,0.216
175,0.217
176,0.214
177,0.213
178,0.212
179,0.210
180,0.211
181,0.208
182,0.208
183,0.207
184,0.206
185,0.205
186,0.204
187,0.203
188,0.202
189,0.199
190,0.201
191,0.199
192,0.199
193,0.198
194,0.197
195,0.197
196,0.195
198,0.194
199,0.194
200,0.194
201,0.192
202,0.191
