Time,Abs
0,0.526
1,0.525
2,0.522
3,0.517
4,0.514
5,0.511
6,0.507
7,0.506
8,0.500
9,0.498
10,0.495
11,0.491
13,0.488
14,0.486
15,0.481
16,0.480
17,0.475
18,0.473
19,0.470
20,0.465
21,0.464
22,0.461
23,0.457
24,0.455
25,0.452
26,0.452
27,0.447
28,0.444
29,0.439
30,0.437
31,0.432
32,0.433
33,0.429
34,0.426
35,0.424
36,0.420
37,0.415
38,0.415
39,0.413
40,0.410
41,0.407
42,0.404
43,0.404
44,0.399
45,0.398
46,0.395
47,0.391
48,0.389
49,0.387
50,0.387
51,0.383
52,0.380
53,0.377
54,0.376
55,0.374
56,0.371
57,0.369
58,0.367
59,0.364
60,0.363
61,0.361
62,0.360
63,0.358
64,0.355
65,0.353
66,0.353
67,0.350
68,0.346
69,0.344
70,0.344
71,0.342
72,0.340
73,0.338
74,0.336
75,0.333
76,0.333
77,0.327
78,0.328
79,0.325
80,0.324
81,0.321
82,0.319
83,0.316
84,0.316
85,0.312
86,0.312
87,0.313
88,0.308
89,0.304
90,0.303
91,0.303
92,0.302
93,0.300
94,0.297
95,0.294
96,0.295
97,0.291
98,0.289
99,0.288
100,0.287
101,0.287
102,0.283
103,0.283
104,0.279
105,0.280
106,0.277
107,0.275
108,0.274
109,0.274
110,0.272
111,0.269
112,0.267
113,0.267
114,0.265
115,0.264
116,0.262
117,0.262
118,0.259
119,0.257
120,0.256
121,0.253
122,0.252
123,0.252
124,0.250
125,0.247
126,0.246
127,0.247
128,0.245
130,0.243
131,0.242
132,0.239
133,0.239
134,0.236
135,0.236
136,0.236
137,0.235
138,0.230
139,0.230
140,0.229
141,0.228
142,0.226
143,0.226
144,0.224
145,0.220
146,0.221
147,0.220
148,0.218
149,0.218
150,0.216
151,0.214
152,0.213
153,0.213
154,0.211
155,0.211
156,0.210
157,0.208
158,0.206
159,0.205
160,0.205
161,0.203
162,0.203
163,0.200
164,0.201
165,0.200
166,0.198
167,0.198
168,0.196
169,0.196
170,0.194
171,0.191
172,0.192
173,0.191
174,0.190
175,0.189
176,0.189
177,0.187
178,0.186
179,0.184
180,0.183
181,0.182
182,0.181
183,0.181
184,0.180
185,0.178
186,0.179
187,0.175
188,0.175
189,0.176
190,0.172
191,0.172
192,0.172
193,0.172
194,0.171
195,0.169
196,0.165
197,0.165
198,0.167
199,0.166
200,0.166
201,0.162
202,0.161
